state_code,lei,State,total_population,rm_per_1000
CO,4834,Colorado,5684926.0,0.850318895971557
UT,2334,Utah,3151239.0,0.7406610542710343
ID,1249,Idaho,1754367.0,0.7119376960464943
AZ,4575,Arizona,7174064.0,0.6377138536818183
CA,21111,California,39346023.0,0.5365472388403779
NV,1546,Nevada,3030281.0,0.5101837090355648
WA,3739,Washington,7512465.0,0.4977061457191481
OR,1949,Oregon,4176346.0,0.46667589323298403
DC,312,District of Columbia,701974.0,0.44446090595948
FL,6858,Florida,21216924.0,0.3232325289000423
HI,372,Hawaii,1420074.0,0.26195817964415935
MT,271,Montana,1061705.0,0.25524981044640466
SC,1043,South Carolina,5091517.0,0.20485053865085787
TX,5254,Texas,28635442.0,0.18347892098190768
WY,105,Wyoming,581348.0,0.18061470926192227
NM,363,New Mexico,2097021.0,0.1731027014035625
NC,1715,North Carolina,10386227.0,0.16512252235580832
MD,987,Maryland,6037624.0,0.16347490337258497
VA,1391,Virginia,8509358.0,0.16346709117186045
TN,1040,Tennessee,6772268.0,0.15356746070887922
ME,202,Maine,1340825.0,0.15065351555945036
NJ,1293,New Jersey,8885418.0,0.14551932165712408
GA,1523,Georgia,10516579.0,0.14481895681095536
DE,137,Delaware,967679.0,0.1415758738176606
MA,956,Massachusetts,6873003.0,0.13909494874365688
LA,638,Louisiana,4664616.0,0.13677438828833927
RI,142,Rhode Island,1057798.0,0.13424113110442637
CT,475,Connecticut,3570549.0,0.13303276330894773
NH,177,New Hampshire,1355244.0,0.13060378795257532
NY,2462,New York,19514849.0,0.12616034077435084
AL,584,Alabama,4893186.0,0.11934964254373327
PA,1493,Pennsylvania,12794885.0,0.1166872543207696
MN,634,Minnesota,5600166.0,0.11321092981886609
OK,436,Oklahoma,3949342.0,0.11039813720867932
VT,64,Vermont,624340.0,0.10250824871063843
OH,1171,Ohio,11675275.0,0.10029742340116186
IN,671,Indiana,6696893.0,0.10019571762606928
MI,977,Michigan,9973907.0,0.0979555955354306
AR,287,Arkansas,3011873.0,0.09528954242094538
AK,65,Alaska,736990.0,0.08819658340004613
WV,159,West Virginia,1807426.0,0.08797040653393279
MO,530,Missouri,6124160.0,0.08654248092799666
WI,464,Wisconsin,5806975.0,0.07990390866156648
IL,1003,Illinois,12716164.0,0.07887598807313274
KS,225,Kansas,2912619.0,0.07725006257255068
MS,229,Mississippi,2981835.0,0.07679834732639465
NE,144,Nebraska,1923826.0,0.07485084409920648
KY,331,Kentucky,4461952.0,0.07418277919619036
IA,216,Iowa,3150011.0,0.06857118911648245
SD,56,South Dakota,879336.0,0.06368441642330122
ND,47,North Dakota,760394.0,0.06181006162594655
PR,46,Puerto Rico,3255642.0,0.014129317658391186
